PAIS,CAPITAL,CONTINENTE
AFGANISTÁN,KABUL,ASIA
ALBANIA,TIRANA,EUROPA
ALEMANIA,BERLÍN,EUROPA
ANDORRA,ANDORRA LA VIEJA,EUROPA
ANGOLA,LUANDA,ÁFRICA
ANTIGUA V BARBUDA,SAINT JOHN'S,AMÉRICA
ARABIA SAUDITA,RIAD,ASIA
ARGELIA,ARGEL,ÁFRICA
ARGENTINA,BUENOS AIRES,AMÉRICA
ARMENIA,EREVÁN,EUROPA
AUSTRALIA,CANBERRA,OCEANÍA
AUSTRIA,VIENA,EUROPA
AZERBAIYÁN,BAKÚ,EUROPA
BAHAMAS,NASSAU,AMÉRICA
BANGLADÉS,DACA,ASIA
BARBADOS,BRIDGETOWN,AMÉRICA
BARÉIN,MANAMÁ,ASIA
BELGICA,BRUSELAS,EUROPA
BELICE,BELMOPÁN,AMÉRICA
BENIN,PORTO-NOVO,ÁFRICA
BIELORRUSIA,MINSK,EUROPA
BOLIVIA,"SUCRE, LA PAZ",AMÉRICA
BOSNIA Y HERZEGOVINA,SARAJEVO,EUROPA
BOTSUANA,GABERONES,ÁFRICA
BRASIL,BRASILIA,AMÉRICA
BRUNEI,BANDAR SERI BEGAWAN,ASIA
BULGARIA,SOFÍA,EUROPA
BURKINA FASO,UAGADUGÚ,ÁFRICA
BURUNDI,BUYUMBURA,ÁFRICA
BUTÁN,TIMBU,ASIA
CABO VERDE,PRAIA,ÁFRICA
CAMBOYA,PNON PEHN,ASIA
CAMERÚN,YAUNDÉ,ÁFRICA
CANADA,OTTAWA,AMÉRICA
CATAR,DOHA,ASIA
CHAD,YAMENA,ÁFRICA
CHILE,SANTIAGO DE CHILE,AMÉRICA
CHINA,PEKÍN,ASIA
CHIPRE,NICOSIA,ASIA
COLOMBIA,BOGOTÁ,AMÉRICA
COMORAS,MORONI,ÁFRICA
COREA (NORTE).REPUBLICA POPULA,PYONGYANG,ASIA
COREA (SUR). REPUBLICA DE,SEÚL,ASIA
COSTA DE MARFIL,"YAMUSUKRO, ABIYÁN",ÁFRICA
COSTA RICA,SAN JOSÉ,AMÉRICA
CROACIA,ZAGREB,EUROPA
CUBA,LA HABANA,AMÉRICA
DINAMARCA,COPENHAGUE,EUROPA
DOMINICA,ROSEAU,AMÉRICA
ECUADOR,QUITO,AMÉRICA
EGIPTO,EL CAIRO,ÁFRICA
EL SALVADOR,SAN SALVADOR,AMÉRICA
EMIRATOS ARABES UNIDOS,ABU DABI,ASIA
ERITREA,ASMARA,ÁFRICA
ESLOVAQUIA,BRATISLAVA,EUROPA
ESLOVENIA,LUBLIJANA,EUROPA
ESPAÑA,MADRID,EUROPA
ESTADOS UNIDOS,WASHINGTON D. C.,AMÉRICA
ESTONIA,TALLÍN,EUROPA
ETIOPÍA,ADÍS ABEBA,ÁFRICA
FILIPINAS,MANILA,ASIA
FINLANDIA,HELSINKI,EUROPA
FIYI,SUVA,OCEANÍA
FRANCIA,PARÍS,EUROPA
GABÓN,LIBREVILLE,ÁFRICA
GAMBIA,BANJUL,ÁFRICA
GEORGIA,TIFLIS,EUROPA
GHANA,ACCRA,ÁFRICA
GRANADA,SAINT GEORGE'S,AMÉRICA
GRECIA,ATENAS,EUROPA
GUATEMALA,CIUDAD DE GUATEMALA,AMÉRICA
GUINEA,CONAKRY,ÁFRICA
GUINEA ECUATORIAL,MALABO,ÁFRICA
GUINEA-BISSAU,BISSAU,ÁFRICA
GUYANA,GEORGETOWN,AMÉRICA
HAITÍ,PUERTO PRÍNCIPE,AMÉRICA
HONDURAS,TEGUCIGALPA,AMÉRICA
HUNGRÍA,BUDAPEST,EUROPA
INDIA,NUEVA DELHI,ASIA
INDONESIA,YAKARTA,ASIA
IRÁN,TEHERÁN,ASIA
IRAQ,BAGDAD,ASIA
IRLANDA,DUBLÍN,EUROPA
ISLANDIA,REIKIAVIK,EUROPA
ISLAS MARSHALL,MAJURO,OCEANÍA
ISLAS SALOMÓN,HONIARA,OCEANÍA
ISRAEL,JERUSALÉN,ASIA
ITALIA,ROMA,EUROPA
JAMAICA,KINGSTON,AMÉRICA
JAPON,TOKIO,ASIA
JORDANIA,AMMÁN,ASIA
KAZAJISTÁN,ASTANÁ,ASIA
KENIA,NAIROBI,ÁFRICA
KIRGUISTÁN,BISKEK,ASIA
KIRIBATI,TARAWA,OCEANÍA
KUWAIT,CIUDAD DE KUWAIT,ASIA
LAOS,VIENTIÁN,ASIA
LESOTO,MASERU,ÁFRICA
LETONIA,RIGA,EUROPA
LÍBANO,BEIRUT,ASIA
LIBERIA,MONROVIA,ÁFRICA
LIBIA,TRÍPOLI,ÁFRICA
LIECHTENSTEIN,VADUZ,EUROPA
LITUANIA,VILNA,EUROPA
LUXEMBURGO,LUXEMBURGO,EUROPA
MADAGASCAR,ANTANANARIVO,ÁFRICA
MALASIA,KUALA LUMPUR,ASIA
MALAUI,LILONGÜE,ÁFRICA
MALDIVAS,MALÉ,ASIA
MALI,BAMAKO,ÁFRICA
MALTA,LA VALETA,EUROPA
MARRUECOS,RABAT,ÁFRICA
MAURICIO,PORT LOUIS,ÁFRICA
MAURITANIA,NUAKCHOT,ÁFRICA
MEXICO,MÉXICO D. F.,AMÉRICA
MICRONESIA,PALIKIR,OCEANÍA
MOLDAVIA,CHISINAU,EUROPA
MÓNACO,MÓNACO,EUROPA
MONGOLIA,ULAN BATOR,ASIA
MONTENEGRO,PODGORICA,EUROPA
MOZAMBIQUE,MAPUTO,ÁFRICA
MYANMAR (BIRMANIA),NAYPYIDAW,ASIA
NAMIBIA,WINDHOEK,ÁFRICA
NAURU,YAREN,OCEANÍA
NEPAL,KATMANDÚ,ASIA
NICARAGUA,MANAGUA,AMÉRICA
NÍGER,NIAMEY,ÁFRICA
NIGERIA,ABUYA,ÁFRICA
NORUEGA,OSLO,EUROPA
NUEVA ZELANDA,WELLINGTON,OCEANÍA
OMÁN,MASCATE,ASIA
PAISES BAJOS,AMSTERDAM,EUROPA
PAKISTAN,ISLAMABAD,ASIA
PALAOS,MELEKEOK,OCEANÍA
PALESTINA,RAMALA,ASIA
PANAMA,CIUDAD DE PANAMÁ,AMÉRICA
PAPÚA NUEVA GUINEA,PORT MORESBY,OCEANÍA
PARAGUAY,ASUNCIÓN,AMÉRICA
PERU,LIMA,AMÉRICA
POLONIA,VARSOVIA,EUROPA
PORTUGAL,LISBOA,EUROPA
PUERTO RICO,SAN JUAN,AMÉRICA
REINO UNIDO,LONDRES,EUROPA
REPÚBLICA CENTROAFRICANA,BANGUI,ÁFRICA
REPUBLICA CHECA,PRAGA,EUROPA
REPÚBLICA DE MACEDONIA,SKOPJE,EUROPA
REPÚBLICA DEL CONGO,BRAZZAVILLE,ÁFRICA
REPÚBLICA DEMOCRÁTICA DEL CONGO,KINSHASA,ÁFRICA
REPUBLICA DOMINICANA,SANTO DOMINGO,AMÉRICA
REPÚBLICA SAHARAUI,EL AAIÚN,ÁFRICA
RUANDA,KIGALI,ÁFRICA
RUMANIA,BUCAREST,EUROPA
"RUSIA, FEDERACIÓN DE",MOSCÚ,EUROPA
SAMOA,APIA,OCEANÍA
SAN CRISTÓBAL Y NIEVES,BASSETERRE,AMÉRICA
SAN MARINO,CIUDAD DE SAN MARINO,EUROPA
SAN VICENTE Y LAS GRANADINAS,KINGSTOWN,AMÉRICA
SANTA LUCÍA,CASTRIES,AMÉRICA
SANTO TOMÉ Y PRÍNCIPE,SANTO TOMÉ,ÁFRICA
SENEGAL,DAKAR,ÁFRICA
SERBIA,BELGRADO,EUROPA
SEYCHELLES,VICTORIA,ÁFRICA
SIERRA LEONA,FREETOWN,ÁFRICA
SINGAPUR,SINGAPUR,ASIA
SIRIA,DAMASCO,ASIA
SOMALIA,MOGADISCIO,ÁFRICA
SRI LANKA,SRI JAYAWARDENAPURA,ASIA
SUAZILANDIA,MBABANE,ÁFRICA
SUDAFRICA. REPUBLICA DE,"PRETORIA, CIUDAD DEL CABO, BLOEMFONTEIN",ÁFRICA
SUDÁN DEL NORTE,JARTUM,ÁFRICA
SUDÁN DEL SUR,YUBA,ÁFRICA
SUECIA,ESTOCOLMO,EUROPA
SUIZA,BERNA,EUROPA
SURINAM,PARAMARIBO,AMÉRICA
TAILANDIA,BANGKOK,ASIA
TAIWAN,TAIPEH,ASIA
TANZANIA,DODOMA,ÁFRICA
TAYIKISTÁN,DUSAMBÉ,ASIA
TIMOR ORIENTAL,DILI,ASIA
TOGO,LOMÉ,ÁFRICA
TONGA,NUKU'ALOFA,OCEANÍA
TRINIDAD Y TOBAGO,PUERTO ESPAÑA,AMÉRICA
TÚNEZ,TÚNEZ,ÁFRICA
TURKMENISTÁN,ASJABAD,ASIA
TURQUIA,ANKARA,ASIA
TUVALU,FUNAFUTI,OCEANÍA
UCRANIA,KIEV,EUROPA
UGANDA,KAMPALA,ÁFRICA
URUGUAY,MONTEVIDEO,AMÉRICA
UZBEKISTÁN,TASHKENT,ASIA
VANUATU,PORT VILA,OCEANÍA
VATICANO,CIUDAD DEL VATICANO,EUROPA
VENEZUELA,CARACAS,AMÉRICA
VIET-NAM,HANOI,ASIA
YEMEN,SANÁ,ASIA
YIBUTI,YIBUTI,ÁFRICA
ZAMBIA,LUSAKA,ÁFRICA
ZIMBABUE,HARARE,ÁFRICA
ZONA FRANCA INDUSTRIAL EL ALTO,LA PAZ,AMÉRICA
